First Name,Last Name,Headshot,State,Political outlook,Leadership Position,Nickname,Party ,District,S.4091,S.4127,S. 1916,S. 2327,S. Res. 534,S.3168,S.Res.504,Letter A,Letter B,Letter C,Letter D
Addison,McConnell,//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Alex_Padilla_117th_Congress_portrait_%283%29_%28crop%29.jpg/95px-Alex_Padilla_117th_Congress_portrait_%283%29_%28crop%29.jpg,KY,Stepping down as Senate Minority Leader in November 2024,Senate Minority Leader,Mitch,R,KYS01,,,,,,,Y,,,,
Alejandro,Padilla,//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Alex_Padilla_117th_Congress_portrait_%283%29_%28crop%29.jpg/95px-Alex_Padilla_117th_Congress_portrait_%283%29_%28crop%29.jpg,CA,Up for re-election in 2028,,Alex,D,CAS02,,,(C),,(C),,Y,,,,
Amy,Klobuchar,//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/95px-Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,MN,Up for re-election in 2024,,,D,MNS01,,,,,(C),,Y,,,,
Angus,King,//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Angus_King%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/95px-Angus_King%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,ME,Up for re-election in 2024,,,I,MES02,(C),,,(C),,,Y,,,,
Ben,Lujan,//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ben_Ray_Lujan%2C_117th_Congress_portrait_2_%28cropped%29.jpg/95px-Ben_Ray_Lujan%2C_117th_Congress_portrait_2_%28cropped%29.jpg,NM,Up for re-election in 2026,,,D,NMS02,,,,,,,N,,,,
Benjamin,Cardin,//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Ben_Cardin_official_Senate_portrait_%28cropped%29.jpg/95px-Ben_Cardin_official_Senate_portrait_%28cropped%29.jpg,MD,Retiring at the end of current term,,Ben,D,MDS01,(C),(C),(C),,,,Y,,,,
Benjamin,Sasse,//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Bernie_Sanders_2023_%28cropped%29.jpg/95px-Bernie_Sanders_2023_%28cropped%29.jpg,NE,"Resigned January 8, 2023 to be University of Florida President",,Ben,R,NES02,,,,,,,n/a,,,,
Bernard,Sanders,//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Bernie_Sanders_2023_%28cropped%29.jpg/95px-Bernie_Sanders_2023_%28cropped%29.jpg,VT,Up for re-election in 2024,,Bernie,I,VTS01,,,(C),,,,N,,Signed,Signed,Signed
Brian,Schatz,//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Brian_Schatz%2C_official_portrait%2C_113th_Congress_2_%28cropped%29.jpg/95px-Brian_Schatz%2C_official_portrait%2C_113th_Congress_2_%28cropped%29.jpg,HI,Up for re-election in 2028,,,D,HIS01,,,,,,,Not Voting,,,,
Catherine,Cortez Masto,//upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Catherine_Cortez_Masto_portrait_red_%28_4x5_crop%29.jpg/95px-Catherine_Cortez_Masto_portrait_red_%28_4x5_crop%29.jpg,NV,Up for re-election in 2028,,,D,NVS01,,(C),,,,,Y,,,,
