District,State,Political outlook,Leadership and Title ,First Name,Last Name,Nickname,Party ,H.R.6408 (Vote Held),H.R.7921         (No Vote Held),H. R. 6090 (Vote Held),H.R.666              (No Vote Held),H.R. 4627             (No Vote Held),H.Res.786            (No Vote Held),H.Res.845 (Vote Held) ,H.R. 3985       (No Vote Held),H. Res. 989       (No Vote Held),H.R. 4639       (No Vote Held),H.R.6126 (Vote Held),H.R.635 (No Vote Held),H.Res.246 (No Vote Held),H.Res.76 (Vote Held),H.R.556 (No Vote Held),H. Res. 414 (No Vote Held) ,H.R. 1511 (No Vote Held),H.R.1325 (No Vote Held),H.R.8034 (Vote Held),,"Letter Condemning Hamas Attacks, Urging Protection of Innocent Civilian Lives",Lawmakers Seek Information from Big Banks on Account Closure Practices that Discriminate Against Muslim Americans,"Lawmakers Raise Concern over Accuracy, Due Process, Civil Rights Violations with Terrorism Watchlist",Discharge Petition No. 9: Motion to Discharge a Committee from the Consideration of a Resolution,,,Headshot URL
NC12,NC,Up for re-election in 2024,Rep. ,Alma,Adams,,D,Y,,Y,,,(C),N,,(C),,N,,,N,,,(C),,Y,,,,,Signed,Alma,Adams,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Alma_Adams_official_portrait_%28cropped%29.jpg/75px-Alma_Adams_official_portrait_%28cropped%29.jpg
AL04,AL,Up for re-election in 2024,Rep. ,Robert,Aderholt,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Robert,Aderholt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Robert_Aderholt_official_photo_%28cropped%29.jpg/75px-Robert_Aderholt_official_photo_%28cropped%29.jpg
CA33,CA,Up for re-election in 2024,Democratic Caucus Chairman Rep. ,Peter,Aguilar,Pete,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Peter,Aguilar,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Pete_Aguilar_117th_congress_%28cropped%29.jpeg/75px-Pete_Aguilar_117th_congress_%28cropped%29.jpeg
MO04,MO,Up for re-election in 2024,Rep. ,Mark,Alford,,R,Y,,Y,,,,Y(C),,,,Y(C),,,Y,,,,,Y,,,,,,Mark,Alford,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Rep._Mark_Alford_official_photo%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Mark_Alford_official_photo%2C_118th_Congress_%28cropped%29.jpg
GA12,GA,Up for re-election in 2024,Rep. ,Richard,Allen,Rick,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Richard,Allen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Rick_Allen_Official_Photo%2C_114th_Congress_%28cropped%29.jpg/75px-Rick_Allen_Official_Photo%2C_114th_Congress_%28cropped%29.jpg
TX32,TX,Running for Senate in 2024,Rep. ,Colin,Allred,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Colin,Allred,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Colin_Allred%2C_official_portrait%2C_117th_Congress_%28cropped%29.jpg/74px-Colin_Allred%2C_official_portrait%2C_117th_Congress_%28cropped%29.jpg
RI01,RI,Up for re-election in 2024,Rep. ,Gabriel,Amo,Gabe,D,Y,(C),N,,,,,,,,,,,,,,,,Y,,,,,Signed,Gabriel,Amo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Gabe_Amo_118th_Congress_Official_Portrait.jpg/78px-Gabe_Amo_118th_Congress_Official_Portrait.jpg
NV02,NV,Up for re-election in 2024,Rep. ,Mark,Amodei,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Mark,Amodei,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Mark_Amodei_official_photo_%28cropped_2%29.jpg/75px-Mark_Amodei_official_photo_%28cropped_2%29.jpg
ND01,ND,Up for re-election in 2024,Rep. ,Kelly,Armstrong,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Kelly,Armstrong,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Kelly_Armstrong_%28cropped_2%29.jpg/75px-Kelly_Armstrong_%28cropped_2%29.jpg
TX19,TX,Up for re-election in 2024,Rep. ,Jodey,Arrington,,R,Y,,Not voting,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Jodey,Arrington,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Jodey_Arrington_115th_congress_photo_%28cropped%29.jpg/75px-Jodey_Arrington_115th_congress_photo_%28cropped%29.jpg
MA04,MA,Up for re-election in 2024,Rep. ,Jake,Auchincloss,,D,Y,(C),N,(C),(C),,N,,,,N,,,N,,,,(C),Y,,,,,Signed,Jake,Auchincloss,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Jake_Auchincloss%2C_117th_Congress_portrait_%28cropped%29.jpg/75px-Jake_Auchincloss%2C_117th_Congress_portrait_%28cropped%29.jpg
TX36,TX,Up for re-election in 2024,Rep. ,Brian,Babin,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Brian,Babin,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Brian_Babin_115th_Congress_%28cropped%29.jpg/75px-Brian_Babin_115th_Congress_%28cropped%29.jpg
NE02,NE,Up for re-election in 2024,Rep. ,Donald,Bacon,Don,R,Y,(C),Y,,(C),,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Donald,Bacon,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Don_Bacon_117th_Congress_%28cropped%29.jpg/75px-Don_Bacon_117th_Congress_%28cropped%29.jpg
IN04,IN,Up for re-election in 2024,Rep. ,James,Baird,Jim,R,Y,,Y,,(C),,Y,,,,Y,,,Y,,,,,Y,,,,,,James,Baird,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Rep._Jim_Baird_official_photo%2C_116th_congress_%28cropped%29.jpg/75px-Rep._Jim_Baird_official_photo%2C_116th_congress_%28cropped%29.jpg
OH12,OH,Up for re-election in 2024,Rep. ,Troy,Balderson,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Troy,Balderson,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Troy_Balderson%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Troy_Balderson%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
VT01,VT,Up for re-election in 2024,Rep. ,Rebecca,Balint,Becca,D,Y,,N,,,,N,,,,N,,,N,,,(C),,N,,Signed,,,Signed,Rebecca,Balint,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Rep._Becca_Balint_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Becca_Balint_-_118th_Congress_%28cropped%29.jpg
IN03,IN,Running for Senate in 2024,Rep. ,Jim,Banks,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Jim,Banks,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Jim_Banks_official_portrait_%28cropped%29.jpg/75px-Jim_Banks_official_portrait_%28cropped%29.jpg
KY06,KY,Up for re-election in 2024,Rep. ,Andy,Barr,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Andy,Barr,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Andy_Barr_official_congressional_photo_%28cropped%29.jpg/75px-Andy_Barr_official_congressional_photo_%28cropped%29.jpg
CA44,CA,Up for re-election in 2024,Rep. ,Nanette,Barragan,,D,Not voting,,Y,(C),,,N,,,,N,,,N,,,(C),,Y,,,,,Signed,Nanette,Barragan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Nanette_Barragan_official_portrait_%28cropped_2%29.jpg/75px-Nanette_Barragan_official_portrait_%28cropped_2%29.jpg
FL04,FL,Up for re-election in 2024,Rep. ,Aaron,Bean,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Aaron,Bean,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Rep._Aaron_Bean_official_photo%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Aaron_Bean_official_photo%2C_118th_Congress_%28cropped%29.jpg
OH03,OH,Up for re-election in 2024,Rep. ,Joyce,Beatty,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Joyce,Beatty,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Joyce_Beatty_congressional_portrait_114th_Congress_%28cropped%29.jpg/75px-Joyce_Beatty_congressional_portrait_114th_Congress_%28cropped%29.jpg
OR02,OR,Up for re-election in 2024,Rep. ,Cliff,Bentz,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Cliff,Bentz,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Cliff_Bentz_117th_U.S_Congress_%28cropped%29.jpg/75px-Cliff_Bentz_117th_U.S_Congress_%28cropped%29.jpg
CA06,CA,Up for re-election in 2024,Rep. ,Amerish,Bera,Ami,D,Y,,Y,,(C),,N,,,,N,,,N,,,,,Y,,,,,Signed,Amerish,Bera,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Ami_Bera_117th_Congress_%28cropped_2%29.jpeg/75px-Ami_Bera_117th_Congress_%28cropped_2%29.jpeg
MI01,MI,Up for re-election in 2024,Rep. ,Jack,Bergman,,R,Y,,Y,,(C),,Y(C),,,,Y,,,Y,,,,,Y,,,,,,Jack,Bergman,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Jack_Bergman_%282017%29_%28cropped%29.jpg/75px-Jack_Bergman_%282017%29_%28cropped%29.jpg
VA08,VA,Up for re-election in 2024,Rep. ,Donald,Beyer,Don,D,Y,,N,,,,N,,,,N,,,N,,,,,N,,Signed,,,Signed,Donald,Beyer,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Rep._Don_Beyer%2C_official_portrait_%28118th_Congress%29_%28tight_crop%29.jpg/75px-Rep._Don_Beyer%2C_official_portrait_%28118th_Congress%29_%28tight_crop%29.jpg
OK05,OK,Up for re-election in 2024,Rep. ,Stephanie,Bice,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Stephanie,Bice,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Stephanie_Bice_117th_U.S_Congress_%28cropped%29.jpg/75px-Stephanie_Bice_117th_U.S_Congress_%28cropped%29.jpg
AZ05,AZ,Up for re-election in 2024,Rep. ,Andy,Biggs,,R,Y,,N,,,,Y,,,(C),Y,,,Y,,,,,N,,,,,,Andy,Biggs,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Andy_Biggs_official_portrait_%28headshot%29.jpg/75px-Andy_Biggs_official_portrait_%28headshot%29.jpg
FL12,FL,Up for re-election in 2024,Rep. ,Gus,Bilirakis,,R,Y,(C),Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Gus,Bilirakis,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Gus_Bilirakis%2C_official_portrait%2C_118th_Congress_%28head_crop%29.jpg/75px-Gus_Bilirakis%2C_official_portrait%2C_118th_Congress_%28head_crop%29.jpg
